timestamp,eval_window_size,maxlen,batch_size,epochs,patience,iterations,shuffle,include_feats,feat_window_size,max_size,sample_weights_size,oversample,include_new_data,tfidf_max_features,scale,normalize,discretize,discretize_size,dis_strategy,weights,model,eval_time,precision,recall,F1,ERDE_5,ERDE_50,median_latency_tps,median_penalty_tps,speed,latency_weighted_f1
13/01/2022 00:21:10,1,1000,32,100,10,5,True,"['first_prons', 'nssi']",10,100,100,True,False,5000,False,True,True,50,quantile,,svm,7003.193862381006,0.6228070175438597,0.6826923076923077,0.6513761467889908,0.27064384179634615,0.11920945368478786,12.0,0.042873701496841665,0.9571262985031583,0.6234492403093967
13/01/2022 00:21:11,2,1000,32,100,10,5,True,"['first_prons', 'nssi']",10,100,100,True,False,5000,False,True,True,50,quantile,,svm,7003.193862381006,0.7380952380952381,0.5961538461538461,0.6595744680851063,0.258586586152275,0.12370163045094658,13.5,0.04871123275121869,0.9512887672487813,0.6274457826534514
13/01/2022 00:21:11,3,1000,32,100,10,5,True,"['first_prons', 'nssi']",10,100,100,True,False,5000,False,True,True,50,quantile,,svm,7003.193862381006,0.7704918032786885,0.4519230769230769,0.5696969696969697,0.2539839501475204,0.15469574184964954,15.0,0.054545807509676525,0.9454541924903235,0.5386223884490328
13/01/2022 00:21:18,1,1000,32,100,10,5,True,"['first_prons', 'nssi']",10,100,100,True,False,5000,False,True,True,50,quantile,,bayes,7.200064678007038,0.3299319727891156,0.9326923076923077,0.48743718592964824,0.3599632916846815,0.1340946576054101,11.0,0.03898023902249159,0.9610197609775084,0.4684367679136599
13/01/2022 00:21:18,2,1000,32,100,10,5,True,"['first_prons', 'nssi']",10,100,100,True,False,5000,False,True,True,50,quantile,,bayes,7.200064678007038,0.3563218390804598,0.8942307692307693,0.5095890410958904,0.343368416994185,0.12636866470881536,12.0,0.042873701496841665,0.9571262985031583,0.48774107266188343
13/01/2022 00:21:18,3,1000,32,100,10,5,True,"['first_prons', 'nssi']",10,100,100,True,False,5000,False,True,True,50,quantile,,bayes,7.200064678007038,0.36086956521739133,0.7980769230769231,0.49700598802395207,0.3312618236302279,0.14270487148416505,13.0,0.046765862163709926,0.9532341378362901,0.4737630744934855
13/01/2022 01:30:15,1,1000,32,100,10,5,True,"['first_prons', 'nssi']",10,100,100,True,False,5000,False,True,True,50,quantile,,cnn_model,317.7214829170116,0.5031446540880503,0.7692307692307693,0.6083650190114069,0.2915538865899087,0.11416018272690276,12.0,0.042873701496841665,0.9571262985031583,0.5822821587851915
13/01/2022 01:30:16,2,1000,32,100,10,5,True,"['first_prons', 'nssi']",10,100,100,True,False,5000,False,True,True,50,quantile,,cnn_model,317.7214829170116,0.5736434108527132,0.7115384615384616,0.6351931330472104,0.27776239000519326,0.11710019905289093,16.0,0.05843335735063637,0.9415666426493636,0.5980766657171924
13/01/2022 01:30:16,3,1000,32,100,10,5,True,"['first_prons', 'nssi']",10,100,100,True,False,5000,False,True,True,50,quantile,,cnn_model,317.7214829170116,0.6274509803921569,0.6153846153846154,0.6213592233009709,0.2679291821353528,0.1284702444566471,18.0,0.06620302575491954,0.9337969742450805,0.5802233626377199
13/01/2022 23:15:47,1,1000,32,100,10,5,True,"['first_prons', 'nssi']",10,100,100,True,False,5000,False,True,True,50,quantile,,lstm_model,5112.842535036034,0.4052863436123348,0.8846153846153846,0.5558912386706948,0.3239627435670934,0.11055225670980515,11.0,0.03898023902249159,0.9610197609775084,0.5342224653168022
13/01/2022 23:15:47,2,1000,32,100,10,5,True,"['first_prons', 'nssi']",10,100,100,True,False,5000,False,True,True,50,quantile,,lstm_model,5112.842535036034,0.4484536082474227,0.8365384615384616,0.5838926174496644,0.3079311081733038,0.11116734254296537,12.0,0.042873701496841665,0.9571262985031583,0.5588589796629179
13/01/2022 23:15:48,3,1000,32,100,10,5,True,"['first_prons', 'nssi']",10,100,100,True,False,5000,False,True,True,50,quantile,,lstm_model,5112.842535036034,0.4444444444444444,0.7307692307692307,0.5527272727272727,0.30104142920358984,0.1271046370778526,13.0,0.046765862163709926,0.9532341378362901,0.5268785052767858
14/01/2022 06:39:12,1,1000,32,100,10,5,True,"['first_prons', 'nssi']",10,100,100,True,False,5000,False,True,True,50,quantile,,lstm_model_32,5285.859674628009,0.3298245614035088,0.9038461538461539,0.4832904884318766,0.3565162995683258,0.13831499387291962,11.0,0.03898023902249159,0.9610197609775084,0.46445170967550536
14/01/2022 06:39:12,2,1000,32,100,10,5,True,"['first_prons', 'nssi']",10,100,100,True,False,5000,False,True,True,50,quantile,,lstm_model_32,5285.859674628009,0.35968379446640314,0.875,0.5098039215686274,0.3399051242743682,0.13163887557503307,12.0,0.042873701496841665,0.9571262985031583,0.4879467404133748
14/01/2022 06:39:12,3,1000,32,100,10,5,True,"['first_prons', 'nssi']",10,100,100,True,False,5000,False,True,True,50,quantile,,lstm_model_32,5285.859674628009,0.3761467889908257,0.7884615384615384,0.5093167701863354,0.32487457327701874,0.14092679830950086,13.0,0.046765862163709926,0.9532341378362901,0.4854981323141353
14/01/2022 12:17:20,1,1000,32,100,10,5,True,"['first_prons', 'nssi']",10,100,100,True,False,5000,False,True,True,50,quantile,,lstm_model_16,4925.193730877945,0.40969162995594716,0.8942307692307693,0.5619335347432024,0.323377679709927,0.1086344362295872,11.0,0.03898023902249159,0.9610197609775084,0.5400292312441588
